!
! ASCII generated by Digitized Shape Editor/CATIA
!
! Without Scans
! Point Format           = 'X %f Y %f Z %f'
!
! Total number of points = 36322
!
X -26.804911 Y 18.608589 Z -27.140209
X -26.741171 Y 18.621849 Z -27.194361
X -26.677311 Y 18.635201 Z -27.248489
X -26.613319 Y 18.648640 Z -27.302570
X -26.549210 Y 18.662180 Z -27.356630
X -26.484980 Y 18.675819 Z -27.410641
X -26.420610 Y 18.689529 Z -27.464621
X -26.356119 Y 18.703341 Z -27.518570
X -26.291500 Y 18.717230 Z -27.572479
X -26.226740 Y 18.731220 Z -27.626350
X -26.161850 Y 18.745291 Z -27.680189
X -26.096821 Y 18.759451 Z -27.733990
X -26.031639 Y 18.773689 Z -27.787750
X -25.966320 Y 18.788010 Z -27.841480
X -25.900850 Y 18.802410 Z -27.895170
X -25.835230 Y 18.816900 Z -27.948820
X -25.769449 Y 18.831461 Z -28.002451
X -25.703510 Y 18.846109 Z -28.056040
X -25.637400 Y 18.860830 Z -28.109600
X -25.571131 Y 18.875629 Z -28.163139
X -25.504681 Y 18.890511 Z -28.216650
X -25.438061 Y 18.905451 Z -28.270149
X -25.371260 Y 18.920481 Z -28.323620
X -25.304279 Y 18.935579 Z -28.377060
X -25.237110 Y 18.950750 Z -28.430470
X -25.169760 Y 18.965990 Z -28.483860
X -25.102230 Y 18.981300 Z -28.537210
X -25.034510 Y 18.996691 Z -28.590521
X -24.966610 Y 19.012140 Z -28.643801
X -24.898520 Y 19.027679 Z -28.697050
X -24.830250 Y 19.043310 Z -28.750250
X -24.761810 Y 19.059019 Z -28.803419
X -24.693190 Y 19.074860 Z -28.856529
X -24.624420 Y 19.090820 Z -28.909599
X -24.555500 Y 19.106951 Z -28.962620
X -24.486450 Y 19.123100 Z -29.015579
X -24.417370 Y 19.138821 Z -29.068460
X -27.010120 Y 18.567039 Z -27.048229
X -26.945999 Y 18.580549 Z -27.102070
X -26.882071 Y 18.593950 Z -27.155760
X -26.818150 Y 18.607349 Z -27.209360
X -26.754110 Y 18.620831 Z -27.262939
X -26.689951 Y 18.634411 Z -27.316490
X -26.625669 Y 18.648081 Z -27.370010
X -26.561251 Y 18.661850 Z -27.423500
X -26.496710 Y 18.675690 Z -27.476959
X -26.432039 Y 18.689631 Z -27.530399
X -26.367241 Y 18.703650 Z -27.583799
X -26.302299 Y 18.717751 Z -27.637171
X -26.237221 Y 18.731939 Z -27.690510
X -26.172001 Y 18.746210 Z -27.743820
X -26.106649 Y 18.760559 Z -27.797100
